DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.0,0.591914504,4.62e-07,-4.62e-07,355.353791,0.000563,-0.000563,1.344,4.781,-0.027,1.0225,0.0395,-0.0395,1060.0,25.3,-25.3,27.21,3.61,-1.96,1646.0,1746.78,834.73,-446.58,56.3,1.0,5122.0,184.0,-184.0,4.659,0.033,-0.077,0.655,0.087,-0.047,298.20035,41.011688,15.643,0,0
0.0,1.71051215,8.4e-06,-8.4e-06,131.65812,0.00402,-0.00402,0.057,0.389,-0.057,1.284,0.132,-0.132,42.2,4.9,-4.9,1.04,0.31,-0.46,2004.0,3820.16,3495.31,-2780.0,11.2,1.0,5925.0,195.0,-177.0,3.989,0.495,-0.165,1.589,0.472,-0.708,286.112,39.80323,13.095,0,0
0.0,1.157808038,2.11e-06,-2.11e-06,354.74488,0.00126,-0.00126,1.203,1.194,-0.117,3.6705,0.0712,-0.0712,867.0,13.5,-13.5,22.9,6.12,-2.04,1579.0,1472.38,1188.13,-403.76,78.8,1.0,5566.0,166.0,-183.0,4.532,0.046,-0.184,0.886,0.237,-0.079,297.17429,43.479099,15.837,0,0
1.0,3.07155284,1.29e-05,-1.29e-05,133.30255,0.0033,-0.0033,0.855,0.086,-0.604,4.0935,0.0936,-0.0936,86.0,3.3,-3.3,1.65,0.28,-0.34,1556.0,1389.97,655.61,-586.86,27.2,3.0,5918.0,107.0,-119.0,4.127,0.168,-0.098,1.555,0.265,-0.324,290.03052,42.16605,13.182,1,2
0.971,8.10904807,6.79e-05,-6.79e-05,132.8031,0.00716,-0.00716,0.025,0.425,-0.025,3.596,0.198,-0.198,217.0,16.8,-16.8,1.3,0.09,-0.12,800.0,97.03,19.9,-22.09,14.1,3.0,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.416,1,2
0.986,16.08832318,8.78e-05,-8.78e-05,139.49184,0.00433,-0.00433,0.648,0.29,-0.43,5.731,0.143,-0.143,598.0,19.7,-19.7,3.42,0.58,-0.58,875.0,138.64,66.48,-50.36,31.3,1.0,6157.0,123.0,-123.0,4.224,0.149,-0.108,1.33,0.225,-0.225,292.47971,38.514919,15.319,1,2
0.0,17.4453133,0.000308,-0.000308,135.7562,0.0175,-0.0175,0.23,0.226,-0.23,5.14,0.517,-0.517,328.0,35.1,-35.1,5.38,1.1,-0.68,1066.0,305.55,155.98,-80.37,12.2,1.0,4927.0,49.0,-44.0,3.417,0.121,-0.148,3.04,0.623,-0.383,291.95251,41.959911,15.807,0,0
0.0,4.800653901,4.14e-06,-4.14e-06,134.365782,0.000745,-0.000745,0.785,0.006,-0.007,9.0419,0.055,-0.055,15300.0,63.7,-63.7,16.91,6.01,-2.0,1347.0,778.45,793.72,-255.78,298.0,1.0,6715.0,161.0,-241.0,4.347,0.056,-0.224,1.241,0.441,-0.147,296.13391,38.999008,13.32,0,0
0.995,31.0325991,0.000204,-0.000204,152.27157,0.00561,-0.00561,0.611,0.026,-0.488,3.476,0.193,-0.193,737.0,49.6,-49.6,2.64,0.72,-0.25,561.0,23.41,19.68,-6.91,17.6,1.0,5841.0,182.0,-223.0,4.52,0.046,-0.184,0.931,0.257,-0.086,296.71274,48.272308,15.728,1,1
0.975,207.24785,0.00263,-0.00263,213.03458,0.0097,-0.0097,0.21,0.241,-0.21,6.159,0.348,-0.348,809.0,64.7,-64.7,1.56,0.09,-0.06,189.0,0.3,0.06,-0.05,13.2,1.0,4339.0,78.0,-87.0,4.711,0.02,-0.032,0.553,0.031,-0.022,284.56689,49.01255,15.142,1,2
